,Loc,Value,ISO-3
0,France,313,FRA
1,Tchad,21,TCD
2,Russie,79,RUS
3,Maroc,5,MAR
4,Espagne,8,ESP
5,Nigeria,10,NGA
6,Éthiopie,3,ETH
7,Algérie,20,DZA
8,États-Unis,84,USA
9,Inde,2,IND
10,Niger,45,NER
11,Australie,2,AUS
12,Chine,11,CHN
13,Afghanistan,9,AFG
14,Suisse,4,CHE
15,Libye,41,LBY
16,Ukraine,10,UKR
17,Moldavie,2,MDA
18,Géorgie,2,GEO
19,Israël,33,ISR
20,Argentine,3,ARG
21,Canada,3,CAN
22,Brésil,6,BRA
23,Syrie,50,SYR
24,Turquie,29,TUR
25,Iran,5,IRN
26,Jordanie,4,JOR
27,Qatar,7,QAT
28,Liban,6,LBN
29,Centrafrique,4,CAF
30,Italie,19,ITA
31,Danemark,3,DNK
32,Hongrie,2,HUN
33,Pays-Bas,3,NLD
34,Belgique,5,BEL
35,Autriche,6,AUT
36,Luxembourg,2,LUX
37,Mexique,2,MEX
