,Loc,Value,ISO-3
0,Syrie,107,SYR
1,France,1516,FRA
2,Afghanistan,63,AFG
3,Russie,520,RUS
4,Libye,460,LBY
5,Tchad,251,TCD
6,Maroc,295,MAR
7,Sénégal,276,SEN
8,Mauritanie,92,MRT
9,Niger,454,NER
10,Burkina Faso,460,BFA
11,Sierra Leone,8,SLE
12,République centrafricaine,17,CAF
13,Centrafrique,34,CAF
14,Congo,6,COG
15,Soudan,43,SDN
16,Cameroun,125,CMR
17,États-Unis,330,USA
18,Chine,141,CHN
19,Inde,32,IND
20,Canada,33,CAN
21,Algérie,672,DZA
22,Tunisie,156,TUN
23,Bénin,71,BEN
24,Angola,6,AGO
25,Rwanda,19,RWA
26,Turquie,92,TUR
27,Guinée,122,GIN
28,Ghana,39,GHA
29,Somalie,6,SOM
30,Bahreïn,9,BHR
31,Japon,4,JPN
32,Nigeria,97,NGA
33,Irak,40,IRQ
34,Iran,16,IRN
35,Égypte,52,EGY
36,Émirats arabes unis,20,ARE
37,Côte d'Ivoire,62,CIV
38,Togo,230,TGO
39,Émirats Arabes Unis,2,ARE
40,Qatar,10,QAT
41,Brésil,2,BRA
42,Kenya,10,KEN
43,Gambie,14,GMB
44,Vénézuéla,2,VEN
45,Danemark,2,DNK
46,Italie,21,ITA
47,Pays-Bas,6,NLD
48,Grèce,4,GRC
49,Autriche,4,AUT
50,Madagascar,5,MDG
51,Corée du Sud,2,KOR
52,Guinée équatoriale,15,GNQ
53,Seychelles,2,SYC
54,Zimbabwe,4,ZWE
55,Espagne,24,ESP
56,Guinée Équatoriale,12,GNQ
57,Gabon,12,GAB
58,Albanie,2,ALB
59,Norvège,6,NOR
60,Jordanie,9,JOR
